,unique_key,dhn_id,mae,energy_mae,energy_mare_per_loss,cluster
72,50_51_52_65_66_dhn_101,101,0.00858872507109389,19237857.02515233,0.4257876322691915,"[50, 51, 52, 65, 66]"
73,60_61_62_72_dhn_101,101,0.05987760305073196,330100805.52868724,5.848522158501116,"[60, 61, 62, 72]"
74,74_75_76_77_78_79_80_83_86_91_92_93_94_97_dhn_101,101,0.09744842331790447,8193769002.666893,20.68158391412347,"[74, 75, 76, 77, 78, 79, 80, 83, 86, 91, 92, 93, 94, 97]"
75,74_75_76_77_78_79_80_81_82_83_84_85_86_91_92_93_94_95_96_97_dhn_101,101,0.13622826817996583,11183496052.97645,20.380199570291868,"[74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 91, 92, 93, 94, 95, 96, 97]"
76,20_23_dhn_101,101,0.007334631105403866,4811080.490531558,0.40565077248116965,"[20, 23]"
77,70_73_dhn_101,101,0.004850836780064625,3179495.830699256,0.20808647865738164,"[70, 73]"
78,39_40_dhn_101,101,0.0038316433710434018,4006533.557755784,0.261429797469955,"[39, 40]"
79,58_59_dhn_101,101,0.004754848983174263,4310751.018036409,0.29068558897327085,"[58, 59]"
80,8_19_dhn_101,101,0.011485321055835959,5519458.358979001,0.40115688530279814,"[8, 19]"
81,58_59_67_dhn_101,101,0.006931094962844705,7245926.30040447,0.31086971654709555,"[58, 59, 67]"
82,45_46_dhn_101,101,0.0017010757015144052,1749912.9542209883,0.10212156235024347,"[45, 46]"
83,94_97_dhn_101,101,0.00790991370623738,7047056.288364405,0.3901903432460059,"[94, 97]"
84,14_15_20_21_22_23_dhn_101,101,0.018638618135442944,37794551.94122155,0.8167962204200251,"[14, 15, 20, 21, 22, 23]"
85,10_25_dhn_101,101,0.07260128206951844,215287690.81573796,8.708585363174896,"[10, 25]"
86,74_86_dhn_101,101,0.12791116553957074,594909921.2798439,17.00092175547563,"[74, 86]"
87,9_10_25_dhn_101,101,0.06384041229252495,469519367.4349949,9.582219824370503,"[9, 10, 25]"
88,9_10_16_17_18_25_dhn_101,101,0.09122269734850705,558420232.0841048,6.962209001425612,"[9, 10, 16, 17, 18, 25]"
89,9_10_17_18_25_dhn_101,101,0.08398417251641671,556758925.2491324,7.856679054179116,"[9, 10, 17, 18, 25]"
90,47_49_dhn_101,101,0.09788448196295921,269503447.99752855,10.081695667080954,"[47, 49]"
91,21_22_23_dhn_101,101,0.12079780927591995,362903946.1787256,9.375664243312094,"[21, 22, 23]"
92,9_10_14_16_21_22_23_25_dhn_101,101,0.13497416453787428,1093263863.0579052,9.989565933213939,"[9, 10, 14, 16, 21, 22, 23, 25]"
93,9_10_14_16_20_21_22_23_25_dhn_101,101,0.10580201595210739,825124105.9346313,7.516389704338868,"[9, 10, 14, 16, 20, 21, 22, 23, 25]"
