,unique_key,dhn_id,mae,energy_mae,energy_mare_per_loss,cluster
0,27_28_dhn_111,111,0.1363139597700469,22067628.04761129,1.1617957433229287,"[27, 28]"
1,29_30_dhn_111,111,0.142921361007115,90932211.18167065,1.8099109641737123,"[29, 30]"
2,9_10_dhn_111,111,0.1693850102191917,34682456.59392496,1.358060700251216,"[9, 10]"
3,27_28_29_30_dhn_111,111,0.104471795561313,49556324.096702464,0.87361698141219,"[27, 28, 29, 30]"
4,15_16_dhn_111,111,0.0400877346109639,73314756.61139578,1.0415520862001644,"[15, 16]"
5,3_14_dhn_111,111,0.07954040746011191,63078745.02631394,1.148988429099899,"[3, 14]"
6,19_26_dhn_111,111,0.09294680127487,40667642.50664714,0.7513790513639805,"[19, 26]"
7,6_8_dhn_111,111,0.0852188499749065,368571363.0090661,2.5180782516478524,"[6, 8]"
8,19_25_26_dhn_111,111,0.0599369015252895,19711528.01568051,0.36386503701160333,"[19, 25, 26]"
9,9_10_11_dhn_111,111,0.08183477341309037,87506881.25439902,1.0219569296103153,"[9, 10, 11]"
10,22_23_dhn_111,111,0.0616350981360435,88833775.35086197,1.8437765230437981,"[22, 23]"
11,5_6_8_dhn_111,111,0.13902074678383994,582656796.5319654,3.175988697857676,"[5, 6, 8]"
12,9_10_11_12_dhn_111,111,0.0794606335707599,54794253.10074108,0.6384866847581653,"[9, 10, 11, 12]"
13,2_3_14_dhn_111,111,0.1458059934424955,118559451.5616893,1.5166075585800645,"[2, 3, 14]"
14,22_23_24_dhn_111,111,0.1075609260999663,124499616.19992286,1.6650477372388737,"[22, 23, 24]"
15,2_3_14_17_dhn_111,111,0.1442193322750195,69781743.49297583,0.8907659062402898,"[2, 3, 14, 17]"
16,2_3_13_14_17_dhn_111,111,0.0852789556919334,59095773.741095595,0.5660726397293016,"[2, 3, 13, 14, 17]"
17,2_3_13_14_15_16_17_dhn_111,111,0.0557677807023467,63345918.15216586,0.42538815584187406,"[2, 3, 13, 14, 15, 16, 17]"
18,18_19_22_23_24_25_26_dhn_111,111,0.0870026187548903,71030255.75976557,0.5507995712436926,"[18, 19, 22, 23, 24, 25, 26]"
19,2_3_7_13_14_15_16_17_dhn_111,111,0.0513976656539032,60975470.932774544,0.32242963199373675,"[2, 3, 7, 13, 14, 15, 16, 17]"
20,4_5_6_8_dhn_111,111,0.1759701299857178,724754446.1201282,3.230767864489046,"[4, 5, 6, 8]"
21,2_3_4_5_6_7_8_13_14_15_16_17_dhn_111,111,0.2274290420047353,666884470.9960988,1.7864078784578283,"[2, 3, 4, 5, 6, 7, 8, 13, 14, 15, 16, 17]"
22,2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_dhn_111,111,0.069073005701401,154909860.55739915,0.37030571878918234,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
23,2_3_13_14_dhn_111,111,0.18492528982980638,189038632.2700849,1.8136477568194558,"[2, 3, 13, 14]"
24,18_22_23_24_dhn_111,111,0.1510678222233729,173015932.5939815,1.7180603990322887,"[18, 22, 23, 24]"
25,4_5_6_8_9_10_11_12_dhn_111,111,0.093795319888612,321628338.51392853,1.1940987412644382,"[4, 5, 6, 8, 9, 10, 11, 12]"
26,21_33_dhn_111,111,0.0974345201519156,262872441.62089285,1.9960925562682623,"[21, 33]"
27,3_14_17_dhn_111,111,0.1292253362019246,59930469.03666884,1.0883725398927484,"[3, 14, 17]"
28,27_29_30_dhn_111,111,0.2001858129869252,115454415.62411,2.037367303996172,"[27, 29, 30]"
29,11_12_dhn_111,111,0.0838069609423662,74951290.56074359,0.9903819896332052,"[11, 12]"
30,10_11_12_dhn_111,111,0.1789847380509723,138562690.01338342,1.6159106694838825,"[10, 11, 12]"
31,18_24_dhn_111,111,0.1296784818474951,123679776.91650334,1.6747396463324538,"[18, 24]"
32,2_3_13_14_15_16_dhn_111,111,0.21766097870032203,318908259.2115358,2.1439456888253376,"[2, 3, 13, 14, 15, 16]"
33,4_5_dhn_111,111,0.1563237952619296,247856192.11914617,2.600853833288373,"[4, 5]"
34,2_3_7_13_14_15_16_dhn_111,111,0.2927542823907375,443704294.6044301,2.348293235007629,"[2, 3, 7, 13, 14, 15, 16]"
35,14_17_dhn_111,111,0.1189446817189755,50388767.090075016,1.4395804415643179,"[14, 17]"
36,4_5_9_10_11_12_dhn_111,111,0.07187500598729774,64396659.58778535,0.4589358297980097,"[4, 5, 9, 10, 11, 12]"
37,4_5_10_11_12_dhn_111,111,0.29388472079858363,288164356.76881725,2.0546861278796444,"[4, 5, 10, 11, 12]"
